gen,best,avg,best_size,avg_size
0, 0.450449971, 7.700899848963001, 5, 3.44
1, 0.450449971, 5.559461814572278, 5, 3.495049504950495
2, 0.450449971, 3.918753561143565, 5, 3.9207920792079207
3, 0.450449971, 4.08448684738614, 5, 4.158415841584159
4, 0.450449971, 3.8957049012792084, 5, 4.297029702970297
5, 0.450449971, 3.2360463047831662, 5, 4.01980198019802
6, 0.450449971, 4.140696146156436, 5, 4.02970297029703
7, 0.450449971, 3.677493036114852, 5, 4.188118811881188
8, 0.450449971, 3.8289396561861397, 5, 4.405940594059406
9, 0.450449971, 3.2468106049613876, 5, 4.861386138613861
10, 0.450449971, 3.407064260272279, 5, 5.00990099009901
11, 0.450449971, 2.8262126325435672, 5, 5.0
12, 0.450449971, 2.988523131317824, 5, 4.772277227722772
13, 0.450449971, 3.345778771651491, 5, 4.851485148514851
14, 0.450449971, 2.208229648953469, 5, 5.02970297029703
15, 0.2294878378, 3.0818337747732696, 8, 5.178217821782178
16, 0.2294878378, 2.713804504821784, 8, 5.306930693069307
17, 0.2294878378, 2.5136737380059433, 8, 5.207920792079208
18, 0.2294878378, 2.143067124644556, 8, 5.376237623762377
19, 0.2294878378, 2.2430242802742586, 8, 5.574257425742574
20, 0.2294878378, 2.8858636447168338, 8, 5.792079207920792
21, 0.2294878378, 2.3505128004584175, 8, 5.891089108910891
22, 0.2294878378, 1.7378580120069305, 8, 6.138613861386139
23, 0.2294878378, 2.2451314896683177, 8, 6.188118811881188
24, 0.2294878378, 1.7637342752920808, 8, 6.297029702970297
25, 0.2294878378, 1.66078315648812, 8, 5.861386138613861
26, 0.2294878378, 1.6572912278029712, 8, 6.178217821782178
27, 0.2294878378, 2.1264205355663384, 8, 6.485148514851486
28, 0.2294878378, 2.51212193547228, 8, 6.732673267326732
29, 0.2294878378, 2.617836874304953, 8, 6.693069306930693
30, 0.2294878378, 2.328251792975251, 8, 7.158415841584159
31, 0.2294878378, 1.962596046345545, 8, 7.02970297029703
32, 0.2294878378, 2.163979456944556, 8, 6.98019801980198
33, 0.2294878378, 1.7820991980603957, 8, 6.821782178217822
34, 0.2294878378, 1.4197357569772278, 8, 6.584158415841584
35, 0.2294878378, 2.415548397702972, 8, 6.316831683168317
36, 0.2294878378, 1.4092280187544561, 8, 6.7227722772277225
37, 0.2294878378, 2.0548453429287155, 8, 7.099009900990099
38, 0.2294878378, 1.7672375560178235, 8, 6.7227722772277225
39, 0.2294878378, 1.8714762970336662, 8, 6.405940594059406
40, 0.2294878378, 1.6441737077455447, 8, 6.1683168316831685
41, 0.2294878378, 1.9457558858207935, 8, 6.217821782178218
42, 0.2294878378, 2.694186106792081, 8, 6.099009900990099
43, 0.2294878378, 1.680791930707921, 8, 5.752475247524752
44, 0.2294878378, 1.9500666006277247, 8, 5.544554455445544
45, 0.2294878378, 2.6142086791782195, 8, 5.5049504950495045
46, 0.2294878378, 2.6379191363396073, 8, 5.376237623762377
47, 0.2294878378, 2.790233008703962, 8, 5.534653465346534
48, 0.2294878378, 1.951951697653466, 8, 5.287128712871287
49, 0.2294878378, 2.225203389762379, 8, 5.326732673267327
50, 0.2294878378, 1.4910040408297052, 8, 5.158415841584159
51, 0.2294878378, 2.61444831108317, 8, 5.851485148514851
52, 0.2294878378, 2.305688572630695, 8, 5.851485148514851
53, 0.029157965, 3.1369301484673295, 9, 6.217821782178218
54, 0.029157965, 1.4826895924910888, 9, 6.247524752475248
55, 0.029157965, 2.0440767194425766, 9, 6.6138613861386135
56, 0.029157965, 2.7128189282514885, 9, 6.287128712871287
57, 0.029157965, 2.144205621115842, 9, 5.910891089108911
58, 0.029157965, 1.752549327140596, 9, 5.673267326732673
59, 0.029157965, 1.8402794228871286, 9, 5.97029702970297
60, 0.029157965, 1.7265507108465337, 9, 6.108910891089109
61, 0.029157965, 1.659175363149505, 9, 6.792079207920792
62, 0.029157965, 1.779092999818812, 9, 7.089108910891089
63, 0.029157965, 2.069029813527724, 9, 7.445544554455446
64, 0.029157965, 1.9553588845851497, 9, 7.643564356435643
65, 0.029157965, 2.4402459142901005, 9, 7.564356435643564
66, 0.029157965, 2.7311010934752478, 9, 7.693069306930693
67, 0.029157965, 2.731664620939604, 9, 7.5049504950495045
68, 0.029157965, 2.6170657306792076, 9, 7.2772277227722775
69, 0.029157965, 3.090987954678215, 9, 7.297029702970297
70, 0.029157965, 2.608100370620794, 9, 7.237623762376238
71, 0.029157965, 2.416955629725744, 9, 7.326732673267327
72, 0.029157965, 2.687306459236633, 9, 7.128712871287129
73, 0.0, 3.0132547803376237, 8, 7.237623762376238
74, 0.0, 2.540231439017823, 8, 7.069306930693069
75, 0.0, 3.0949357369356427, 8, 6.861386138613861
76, 0.0, 2.6986518227920793, 8, 6.900990099009901
77, 0.0, 1.910052175927722, 8, 6.7227722772277225
78, 0.0, 2.0477938194554466, 8, 7.079207920792079
79, 0.0, 2.215802914154456, 8, 7.0594059405940595
80, 0.0, 2.0299145835910903, 8, 7.069306930693069
81, 0.0, 2.521945278609902, 8, 7.148514851485149
82, 0.0, 3.279722170298018, 8, 7.148514851485149
83, 0.0, 1.9027173269702968, 8, 6.683168316831683
84, 0.0, 2.081579570077228, 8, 6.821782178217822
85, 0.0, 1.9223115510782172, 8, 6.99009900990099
86, 0.0, 1.9339675331584172, 8, 7.128712871287129
87, 0.0, 2.5919084767148504, 8, 7.287128712871287
88, 0.0, 2.534383467737626, 8, 7.514851485148514
89, 0.0, 2.3292646401603982, 8, 7.574257425742574
90, 0.0, 2.542808832555446, 8, 7.514851485148514
91, 0.0, 2.181790370870297, 8, 7.217821782178218
92, 0.0, 2.4214235557326735, 8, 6.96039603960396
93, 0.0, 1.7482544468297032, 8, 7.297029702970297
94, 0.0, 3.039682433792078, 8, 7.346534653465347
95, 0.0, 1.9310084976683166, 8, 7.178217821782178
96, 0.0, 2.6808712666000005, 8, 7.425742574257426
97, 0.0, 2.434677168539605, 8, 7.425742574257426
98, 0.0, 1.9529464974425743, 8, 7.0594059405940595
99, 0.0, 2.0048949987643554, 8, 7.326732673267327
